Transaction_ID,Product,Branch,City,Category,Customer_Type,Quantity,Unit_Price,Payment,Rating,Sales
1,Milk,A,Delhi,Dairy,Normal,4,50.09,UPI,4.19,200.36
2,Chips,A,Delhi,Snacks,Normal,1,33.58,Cash,3.08,33.58
3,Chocolate,A,Delhi,Snacks,Member,9,133.9,Debit Card,3.97,1205.1
4,Cheese,A,Delhi,Dairy,Normal,6,182.81,Cash,4.89,1096.86
5,Tea,A,Delhi,Beverages,Member,7,106.11,Credit Card,4.01,742.77
6,Cheese,C,Mumbai,Dairy,Normal,9,126.19,Debit Card,2.7,1135.71
7,Coffee,C,Mumbai,Beverages,Normal,10,176.92,UPI,2.61,1769.2
8,Biscuits,B,Pune,Food,Member,4,158.64,Debit Card,3.19,634.56
9,Tea,A,Delhi,Beverages,Normal,6,136.57,Credit Card,4.25,819.42
10,Milk,C,Mumbai,Dairy,Member,9,95.62,Cash,3.66,860.58
11,Coffee,C,Mumbai,Beverages,Member,6,437.14,UPI,3.07,2622.84
12,Cheese,B,Pune,Dairy,Normal,5,104.49,Credit Card,3.03,522.45
13,Soft Drinks,B,Pune,Beverages,Normal,3,77.08,Cash,4.36,231.24
14,Chips,B,Pune,Snacks,Normal,10,77.93,Cash,4.99,779.3
15,Bread,C,Mumbai,Food,Normal,2,81.68,UPI,2.88,163.36
16,Bread,C,Mumbai,Food,Normal,10,29.76,Debit Card,3.99,297.6
17,Soft Drinks,C,Mumbai,Beverages,Normal,9,160.51,UPI,4.2,1444.59
18,Milk,C,Mumbai,Dairy,Normal,6,40.04,Debit Card,2.9,240.24
19,Cheese,C,Mumbai,Dairy,Normal,9,361.93,UPI,4.68,3257.37
20,Coffee,C,Mumbai,Beverages,Member,3,249.57,Cash,3.85,748.71
21,Chips,A,Delhi,Snacks,Normal,8,32.34,Credit Card,4.7,258.72
22,Coffee,A,Delhi,Beverages,Member,4,451.2,UPI,2.71,1804.8
23,Soft Drinks,A,Delhi,Beverages,Member,3,132.37,Cash,3.16,397.11
24,Chocolate,B,Pune,Snacks,Member,9,201.05,Cash,4.28,1809.45
25,Juice,C,Mumbai,Beverages,Normal,8,230.93,Debit Card,2.8,1847.44
26,Biscuits,A,Delhi,Food,Normal,1,114.13,Cash,3.97,114.13
27,Cheese,A,Delhi,Dairy,Member,4,104.94,UPI,4.65,419.76
28,Milk,C,Mumbai,Dairy,Member,5,90.21,Cash,3.85,451.05
29,Chocolate,C,Mumbai,Snacks,Normal,4,206.92,Debit Card,2.98,827.68
30,Milk,C,Mumbai,Dairy,Normal,6,68.12,Debit Card,4.66,408.72
31,Cheese,C,Mumbai,Dairy,Member,1,228.97,Credit Card,4.5,228.97
32,Milk,A,Delhi,Dairy,Member,4,78.27,Cash,3.55,313.08
33,Coffee,B,Pune,Beverages,Member,2,277.25,UPI,2.63,554.5
34,Chips,A,Delhi,Snacks,Member,4,49.96,Debit Card,3.7,199.84
35,Juice,A,Delhi,Beverages,Member,7,60.41,Debit Card,3.16,422.87
36,Soft Drinks,B,Pune,Beverages,Normal,9,132.66,Debit Card,2.89,1193.94
37,Coffee,A,Delhi,Beverages,Member,10,394.29,UPI,4.37,3942.9
38,Cheese,A,Delhi,Dairy,Normal,9,420.17,Cash,2.64,3781.53
39,Chips,A,Delhi,Snacks,Member,2,101.4,Cash,3.51,202.8
40,Chocolate,A,Delhi,Snacks,Member,10,66.4,Credit Card,4.84,664.0
41,Biscuits,C,Mumbai,Food,Normal,4,62.5,Cash,4.18,250.0
42,Coffee,B,Pune,Beverages,Normal,2,103.73,UPI,2.68,207.46
43,Biscuits,C,Mumbai,Food,Normal,3,169.32,UPI,4.7,507.96
44,Tea,B,Pune,Beverages,Member,8,305.11,Credit Card,4.03,2440.88
45,Chips,A,Delhi,Snacks,Normal,2,142.67,Cash,3.16,285.34
46,Milk,C,Mumbai,Dairy,Member,5,55.36,Cash,4.29,276.8
47,Biscuits,C,Mumbai,Food,Normal,9,98.17,UPI,2.73,883.53
48,Juice,B,Pune,Beverages,Member,1,123.38,Cash,4.09,123.38
49,Coffee,A,Delhi,Beverages,Normal,9,382.27,UPI,2.78,3440.43
50,Bread,C,Mumbai,Food,Member,6,68.69,Cash,3.57,412.14
51,Cheese,B,Pune,Dairy,Normal,1,412.6,Cash,4.21,412.6
52,Milk,B,Pune,Dairy,Normal,10,97.45,Cash,4.66,974.5
53,Bread,B,Pune,Food,Member,3,80.24,Credit Card,4.46,240.72
54,Juice,C,Mumbai,Beverages,Member,5,90.25,UPI,3.46,451.25
55,Cheese,B,Pune,Dairy,Member,4,382.14,Debit Card,3.37,1528.56
56,Biscuits,A,Delhi,Food,Member,4,83.75,Credit Card,4.66,335.0
57,Coffee,B,Pune,Beverages,Normal,9,232.46,UPI,2.79,2092.14
58,Coffee,A,Delhi,Beverages,Normal,1,143.36,Debit Card,3.36,143.36
59,Tea,B,Pune,Beverages,Member,7,322.87,Cash,3.14,2260.09
60,Juice,A,Delhi,Beverages,Member,6,141.95,Credit Card,4.06,851.7
61,Milk,C,Mumbai,Dairy,Normal,9,57.84,Debit Card,3.32,520.56
62,Coffee,C,Mumbai,Beverages,Member,4,268.18,Debit Card,4.19,1072.72
63,Bread,C,Mumbai,Food,Normal,7,66.1,UPI,3.26,462.7
64,Biscuits,B,Pune,Food,Normal,8,90.69,Cash,3.78,725.52
65,Bread,C,Mumbai,Food,Member,5,63.66,Credit Card,2.73,318.3
66,Biscuits,C,Mumbai,Food,Normal,4,149.05,Cash,2.56,596.2
